latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.738136,-74.04254,51.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),rain (mm),snowfall (cm),snow_depth (m),weather_code (wmo code),wind_speed_10m (km/h),wind_speed_100m (km/h)
2023-02-01T00:00,2.1,41,0.00,0.00,0.00,0.00,3,6.6,10.8
2023-02-01T01:00,1.9,44,0.00,0.00,0.00,0.00,3,7.7,12.8
2023-02-01T02:00,1.4,48,0.00,0.00,0.00,0.00,3,12.1,16.7
2023-02-01T03:00,0.3,53,0.00,0.00,0.00,0.00,3,16.1,22.5
2023-02-01T04:00,-0.3,53,0.00,0.00,0.00,0.00,3,15.0,20.5
2023-02-01T05:00,-1.0,53,0.00,0.00,0.00,0.00,3,15.8,21.3
2023-02-01T06:00,-1.5,52,0.00,0.00,0.00,0.00,3,15.4,21.1
2023-02-01T07:00,-1.8,52,0.00,0.00,0.00,0.00,3,14.5,19.5
2023-02-01T08:00,-2.2,53,0.10,0.00,0.07,0.00,71,16.0,21.6
2023-02-01T09:00,-2.7,59,0.30,0.00,0.21,0.00,73,16.5,22.3
2023-02-01T10:00,-3.3,68,0.60,0.00,0.42,0.00,73,13.4,17.9
2023-02-01T11:00,-3.5,72,0.50,0.00,0.35,0.00,73,12.2,16.1
2023-02-01T12:00,-3.0,66,0.10,0.00,0.07,0.00,71,9.6,12.2
2023-02-01T13:00,-2.9,66,0.00,0.00,0.00,0.00,0,8.8,11.4
2023-02-01T14:00,-2.0,63,0.00,0.00,0.00,0.00,0,8.2,10.0
2023-02-01T15:00,-1.0,59,0.00,0.00,0.00,0.00,0,7.9,9.7
2023-02-01T16:00,0.2,55,0.00,0.00,0.00,0.00,0,7.3,9.3
2023-02-01T17:00,1.5,50,0.00,0.00,0.00,0.00,2,11.5,14.2
2023-02-01T18:00,2.4,45,0.00,0.00,0.00,0.00,1,13.3,16.7
2023-02-01T19:00,2.8,41,0.00,0.00,0.00,0.00,0,12.6,15.9
2023-02-01T20:00,3.0,40,0.00,0.00,0.00,0.00,0,12.3,15.9
2023-02-01T21:00,2.8,39,0.00,0.00,0.00,0.00,0,12.4,16.0
2023-02-01T22:00,1.3,46,0.00,0.00,0.00,0.00,0,6.8,16.6
2023-02-01T23:00,-0.5,56,0.00,0.00,0.00,0.00,0,7.6,19.1
2023-02-02T00:00,-1.1,54,0.00,0.00,0.00,0.00,0,8.2,19.2
2023-02-02T01:00,-1.8,48,0.00,0.00,0.00,0.00,0,8.6,20.9
2023-02-02T02:00,-2.6,49,0.00,0.00,0.00,0.00,0,6.9,18.9
2023-02-02T03:00,-3.0,58,0.00,0.00,0.00,0.00,1,7.4,20.0
2023-02-02T04:00,-3.7,67,0.00,0.00,0.00,0.00,1,6.7,17.9
2023-02-02T05:00,-3.8,68,0.00,0.00,0.00,0.00,1,5.9,15.4
2023-02-02T06:00,-4.4,72,0.00,0.00,0.00,0.00,1,7.4,14.4
2023-02-02T07:00,-4.5,70,0.00,0.00,0.00,0.00,1,7.3,12.1
2023-02-02T08:00,-4.6,72,0.00,0.00,0.00,0.00,1,6.4,10.4
2023-02-02T09:00,-2.7,59,0.00,0.00,0.00,0.00,1,3.1,5.0
2023-02-02T10:00,-2.6,59,0.00,0.00,0.00,0.00,1,2.3,2.6
2023-02-02T11:00,-2.5,60,0.00,0.00,0.00,0.00,1,2.7,3.7
2023-02-02T12:00,-2.0,58,0.00,0.00,0.00,0.00,1,0.5,0.5
2023-02-02T13:00,-2.1,61,0.00,0.00,0.00,0.00,1,0.7,1.5
2023-02-02T14:00,-0.8,60,0.00,0.00,0.00,0.00,1,4.0,5.2
2023-02-02T15:00,0.6,52,0.00,0.00,0.00,0.00,1,9.7,12.2
2023-02-02T16:00,1.6,39,0.00,0.00,0.00,0.00,0,14.7,18.5
2023-02-02T17:00,2.3,38,0.00,0.00,0.00,0.00,0,15.9,19.9
2023-02-02T18:00,2.9,38,0.00,0.00,0.00,0.00,0,17.4,22.2
2023-02-02T19:00,3.5,37,0.00,0.00,0.00,0.00,0,17.7,22.5
2023-02-02T20:00,3.9,35,0.00,0.00,0.00,0.00,0,19.1,25.2
2023-02-02T21:00,3.6,37,0.00,0.00,0.00,0.00,1,18.1,25.9
2023-02-02T22:00,2.2,45,0.00,0.00,0.00,0.00,1,14.0,26.7
2023-02-02T23:00,1.4,53,0.00,0.00,0.00,0.00,1,15.0,28.9
2023-02-03T00:00,0.7,54,0.00,0.00,0.00,0.00,0,13.5,27.1
2023-02-03T01:00,0.3,58,0.00,0.00,0.00,0.00,1,13.0,26.5
2023-02-03T02:00,0.0,62,0.00,0.00,0.00,0.00,1,14.5,28.6
2023-02-03T03:00,0.1,61,0.00,0.00,0.00,0.00,1,18.9,33.6
2023-02-03T04:00,0.1,64,0.00,0.00,0.00,0.00,0,20.3,34.8
2023-02-03T05:00,-0.3,69,0.00,0.00,0.00,0.00,1,21.1,36.2
2023-02-03T06:00,-0.4,70,0.00,0.00,0.00,0.00,1,20.9,35.6
2023-02-03T07:00,-0.5,66,0.00,0.00,0.00,0.00,1,19.8,34.7
2023-02-03T08:00,0.0,54,0.00,0.00,0.00,0.00,1,19.8,34.3
2023-02-03T09:00,-0.2,50,0.00,0.00,0.00,0.00,1,20.1,34.6
2023-02-03T10:00,-1.1,52,0.00,0.00,0.00,0.00,0,25.2,40.4
2023-02-03T11:00,-2.8,53,0.00,0.00,0.00,0.00,0,22.9,35.9
2023-02-03T12:00,-3.3,39,0.00,0.00,0.00,0.00,0,32.0,46.1
2023-02-03T13:00,-4.6,45,0.00,0.00,0.00,0.00,0,27.9,39.3
2023-02-03T14:00,-4.6,46,0.00,0.00,0.00,0.00,2,26.5,35.2
2023-02-03T15:00,-4.8,37,0.00,0.00,0.00,0.00,1,30.8,41.0
2023-02-03T16:00,-4.9,35,0.00,0.00,0.00,0.00,3,34.3,45.8
2023-02-03T17:00,-4.6,32,0.00,0.00,0.00,0.00,0,36.7,49.0
2023-02-03T18:00,-4.7,30,0.00,0.00,0.00,0.00,1,38.7,52.1
2023-02-03T19:00,-5.0,29,0.00,0.00,0.00,0.00,0,38.8,52.2
2023-02-03T20:00,-5.5,28,0.00,0.00,0.00,0.00,1,38.3,52.3
2023-02-03T21:00,-6.6,29,0.00,0.00,0.00,0.00,0,36.9,50.8
2023-02-03T22:00,-7.5,26,0.00,0.00,0.00,0.00,0,35.6,50.6
2023-02-03T23:00,-9.1,28,0.00,0.00,0.00,0.00,0,33.1,47.4
2023-02-04T00:00,-9.5,31,0.00,0.00,0.00,0.00,0,36.5,51.4
2023-02-04T01:00,-10.0,33,0.00,0.00,0.00,0.00,1,29.8,42.5
2023-02-04T02:00,-10.4,33,0.00,0.00,0.00,0.00,2,40.3,57.1
2023-02-04T03:00,-10.9,32,0.00,0.00,0.00,0.00,3,42.2,60.5
2023-02-04T04:00,-11.3,39,0.00,0.00,0.00,0.00,3,35.5,50.5
2023-02-04T05:00,-11.5,33,0.00,0.00,0.00,0.00,1,39.5,56.0
2023-02-04T06:00,-12.8,37,0.00,0.00,0.00,0.00,3,39.8,56.6
2023-02-04T07:00,-14.1,41,0.00,0.00,0.00,0.00,0,27.9,39.0
2023-02-04T08:00,-15.5,39,0.00,0.00,0.00,0.00,0,27.2,37.8
2023-02-04T09:00,-16.3,38,0.00,0.00,0.00,0.00,0,24.6,33.7
2023-02-04T10:00,-16.7,38,0.00,0.00,0.00,0.00,0,22.8,31.0
2023-02-04T11:00,-16.6,38,0.00,0.00,0.00,0.00,0,22.4,30.6
2023-02-04T12:00,-14.7,39,0.00,0.00,0.00,0.00,0,21.1,27.9
2023-02-04T13:00,-14.4,39,0.00,0.00,0.00,0.00,0,21.3,28.1
2023-02-04T14:00,-13.1,36,0.00,0.00,0.00,0.00,0,20.3,26.1
2023-02-04T15:00,-11.4,31,0.00,0.00,0.00,0.00,0,17.7,22.2
2023-02-04T16:00,-9.6,27,0.00,0.00,0.00,0.00,0,14.8,18.5
2023-02-04T17:00,-7.9,23,0.00,0.00,0.00,0.00,0,12.2,15.3
2023-02-04T18:00,-6.5,21,0.00,0.00,0.00,0.00,1,8.7,10.9
2023-02-04T19:00,-5.3,19,0.00,0.00,0.00,0.00,0,7.3,9.2
2023-02-04T20:00,-4.4,21,0.00,0.00,0.00,0.00,0,11.6,14.4
2023-02-04T21:00,-4.1,22,0.00,0.00,0.00,0.00,0,15.3,19.4
2023-02-04T22:00,-4.3,28,0.00,0.00,0.00,0.00,0,14.1,21.0
2023-02-04T23:00,-4.5,41,0.00,0.00,0.00,0.00,0,14.9,24.9
2023-02-05T00:00,-4.9,42,0.00,0.00,0.00,0.00,0,14.6,22.2
2023-02-05T01:00,-4.9,43,0.00,0.00,0.00,0.00,0,14.8,25.3
2023-02-05T02:00,-4.7,47,0.00,0.00,0.00,0.00,0,18.7,30.4
2023-02-05T03:00,-5.1,53,0.00,0.00,0.00,0.00,0,18.3,29.7
2023-02-05T04:00,-4.9,62,0.00,0.00,0.00,0.00,0,16.3,27.5
